Code,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Colour,Standard Qty,Type,remark,修正前描述,修正後描述,修正說明
0630,"14.5"" Coloured Cotton Double-Knot Pull","14.5""",Coloured,Cotton,Double-Knot,Pull,,,,,,,,,,,,,-,1,-,-,,,
0640,"xxx15"" Coloured Cotton Double-Knot Pull","xxx15""",Coloured,Cotton,Double-Knot,Pull,,,,,,,,,,,,,-,1,-,-,,,
0701M,Medium Nylon Bone (Mixed Colours),Medium,Nylon,Bone,(Mixed,Colours),,,,,,,,,,,,,-,1,-,-,,,
0703M,"6.5"" Jumbo Nylon Bone (Mixed Colours)","6.5""",Jumbo,Nylon,Bone,(Mixed,Colours),,,,,,,,,,,,-,1,-,-,,,
0705M,Knotted Nylon Chew (Mixed Colours),Knotted,Nylon,Chew,(Mixed,Colours),,,,,,,,,,,,,-,1,-,-,,,
0710M,"2.5"" Nylon Ball (Mixed Colours)","2.5""",Nylon,Ball,(Mixed,Colours),,,,,,,,,,,,,-,1,-,-,,,
0720M,Nylon Puppy Ring (Mixed Colours),Nylon,Puppy,Ring,(Mixed,Colours),,,,,,,,,,,,,-,1,-,-,,,
0722M,"4.5"" Medium Nylon Ring (Mixed Colours)","4.5""",Medium,Nylon,Ring,(Mixed,Colours),,,,,,,,,,,,-,1,-,-,,,
0724M,"5.75"" Large Ring (Mixed Colours)","5.75""",Large,Ring,(Mixed,Colours),,,,,,,,,,,,,-,1,-,-,,,
0730M,Nylon Dog Pull (Mixed Colours),Nylon,Dog,Pull,(Mixed,Colours),,,,,,,,,,,,,-,1,-,-,,,
0801M,xxxOffer Alternative: 0703M,xxxOffer,Alternative:,0703M,,,,,,,,,,,,,,,-,1,-,-,,,
0851,"xxxx4"" Actiball (Mixed Colours)","xxxx4""",Actiball,(Mixed,Colours),,,,,,,,,,,,,,-,1,-,-,,,
0856,"6"" Actiball (Mixed Colours)","6""",Actiball,(Mixed,Colours),,,,,,,,,,,,,,-,1,-,-,,,
0861,"xxxx8"" Actiball (Mixed Colours)","xxxx8""",Actiball,(Mixed,Colours),,,,,,,,,,,,,,-,1,-,-,,,
0871,Dental Ring Dog Toy (Pack of 12),Dental,Ring,Dog,Toy,(Pack,of,12),,,,,,,,,,,-,1,-,-,,,
0871FS,xxxDental Ring Dog Toy,xxxDental,Ring,Dog,Toy,,,,,,,,,,,,,,-,1,-,-,,,
0873,xxxTennis Ball (Pack of 5),xxxTennis,Ball,(Pack,of,5),,,,,,,,,,,,,-,1,-,-,,,
0875,Launcher & Tennis Ball Set,Launcher,&,Tennis,Ball,Set,,,,,,,,,,,,,-,1,-,-,,,
0877,Aqua Ball Blister (Pack of 6),Aqua,Ball,Blister,(Pack,of,6),,,,,,,,,,,,-,1,-,-,,,
0957,xxxCheese Box Display Mouse,xxxCheese,Box,Display,Mouse,,,,,,,,,,,,,,-,1,-,-,,,
0958,xxxAssorted Cat Toys,xxxAssorted,Cat,Toys,,,,,,,,,,,,,,,-,1,-,-,,,
0959,xxxAssorted large cat toys (Packs of 12's),xxxAssorted,large,cat,toys,(Packs,of,12's),,,,,,,,,,,-,1,-,-,,,
2301,Cat Starter Kit (46 x 33 x 20mm),Cat,Starter,Kit,(46,x,33,x,20cm),,,,,,,,,,,,,,-,1,-,-,Cat Starter Kit (46x33x20cm),Cat Starter Kit (46 x 33 x 20mm),尺寸格式統一：46x33x20cm → 46 x 33 x 20mm
2803,Indoor Guinea Pig Cage (80 x 50 x 34mm),Indoor,Guinea,Pig,Cage,(80,x,50,x,34cm),,,,,,,,,,,,,-,1,-,-,Indoor Guinea Pig Cage (80x50x34cm),Indoor Guinea Pig Cage (80 x 50 x 34mm),尺寸格式統一：80x50x34cm → 80 x 50 x 34mm
2807,Indoor Rabbit Cage (120 x 50 x 60mm),Indoor,Rabbit,Cage,(120,x,50,x,60cm),,,,,,,,,,,,,,-,1,-,-,Indoor Rabbit Cage (120x50x60cm),Indoor Rabbit Cage (120 x 50 x 60mm),尺寸格式統一：120x50x60cm → 120 x 50 x 60mm
2885,H-Pod Wire Run 60 x 60 x 60mm,H-Pod,Wire,Run,60,x,60,x,60cm,,,,,,,,,,,,-,1,-,-,H-Pod Wire Run 60x60x60cm,H-Pod Wire Run 60 x 60 x 60mm,尺寸格式統一：60x60x60cm → 60 x 60 x 60mm
2887,XXXH-Pod Extension for Wire Run 60 x 60 x 60mm,XXXH-Pod,Extension,for,Wire,Run,60,x,60,x,60cm,,,,,,,,,,,,-,1,-,-,XXXH-Pod Extension for Wire Run 60x60x60cm,XXXH-Pod Extension for Wire Run 60 x 60 x 60mm,尺寸格式統一：60x60x60cm → 60 x 60 x 60mm
3690,xxxSnoozzzeee Snack Box (30 x 30 x 5mm),xxxSnoozzzeee,Snack,Box,(30,x,30,x,5cm),,,,,,,,,,,,,,-,1,-,-,xxxSnoozzzeee Snack Box (30x30x5cm),xxxSnoozzzeee Snack Box (30 x 30 x 5mm),尺寸格式統一：30x30x5cm → 30 x 30 x 5mm
D1001,EasyFlow 1000 x 125 x 78mm Line Drain (Black),EasyFlow,1000,x,125,x,78mm,Line,Drain,(Black),,,,,,,,,,,Black,120,-,-,EasyFlow 1000x125x78mm Line Drain (Black),EasyFlow 1000 x 125 x 78mm Line Drain (Black),尺寸格式統一：1000x125x78mm → 1000 x 125 x 78mm
D1001N,EasyFlow 1000 x 125 x 78mm Channel Drain (Black) Newplas,EasyFlow,1000,x,125,x,78mm,Channel,Drain,(Black),Newplas,,,,,,,,,,,,Black,1,-,-,EasyFlow 1000x125x78mm Channel Drain (Black) Newplas,EasyFlow 1000 x 125 x 78mm Channel Drain (Black) Newplas,尺寸格式統一：1000x125x78mm → 1000 x 125 x 78mm
D1001U,EasyFlow 1000 x 125 x 78mm Line Drain (Black) UNBRANDED,EasyFlow,1000,x,125,x,78mm,Line,Drain,(Black),UNBRANDED,,,,,,,,,,,,Black,1,-,-,EasyFlow 1000x125x78mm Line Drain (Black) UNBRANDED,EasyFlow 1000 x 125 x 78mm Line Drain (Black) UNBRANDED,尺寸格式統一：1000x125x78mm → 1000 x 125 x 78mm
DD36GC,TwinColour Deck Board 140 x 22 x 3660mm Grey/Charcoal,TwinColour,Deck,Board,140,x,22,x,3660mm,Grey/Charcoal,,,,,,,,,,,,,-,105,-,-,TwinColour Deck Board 140x22x3660mm Grey/Charcoal,TwinColour Deck Board 140 x 22 x 3660mm Grey/Charcoal,尺寸格式統一：140x22x3660mm → 140 x 22 x 3660mm
DD36TA,TwinColour Deck Board 140 x 22 x 3660mm Teak/Antique,TwinColour,Deck,Board,140,x,22,x,3660mm,Teak/Antique,,,,,,,,,,,,,-,105,-,-,TwinColour Deck Board 140x22x3660mm Teak/Antique,TwinColour Deck Board 140 x 22 x 3660mm Teak/Antique,尺寸格式統一：140x22x3660mm → 140 x 22 x 3660mm
DB36A,Double Sided Deck Board 140 x 22 x 3660mm Antique,Double,Sided,Deck,Board,140,x,22,,x,3660mm,Antique,,,,,,,-,105,-,-,Double Sided Deck Board 140 x 22  x 3660mm Antique,Double Sided Deck Board 140 x 22 x 3660mm Antique,尺寸格式統一：140 x 22 x 3660mm → 140 x 22 x 3660mm
DB36G,Double Sided Deck Board 140 x 22 x 3660mm Grey,Double,Sided,Deck,Board,140,x,22,,x,3660mm,Grey,,,,,,,-,105,-,-,Double Sided Deck Board 140 x 22  x 3660mm Grey,Double Sided Deck Board 140 x 22 x 3660mm Grey,尺寸格式統一：140 x 22 x 3660mm → 140 x 22 x 3660mm
DB36T,Double Sided Deck Board 140 x 22 x 3660mm Teak,Double,Sided,Deck,Board,140,x,22,,x,3660mm,Teak,,,,,,,-,105,-,-,Double Sided Deck Board 140 x 22  x 3660mm Teak,Double Sided Deck Board 140 x 22 x 3660mm Teak,尺寸格式統一：140 x 22 x 3660mm → 140 x 22 x 3660mm
E1055,EasyFill ® Stacking Crate (55 x 46 x 19mm),EasyFill,®,Stacking,Crate,(55,x,46,x,19cm),,,,,,,,,,,,,-,1,-,-,EasyFill ® Stacking Crate (55x46x19cm),EasyFill ® Stacking Crate (55 x 46 x 19mm),尺寸格式統一：55x46x19cm → 55 x 46 x 19mm
E1060,XXXEasyFill ® 405 Seed Tray (54 x 31 x 3mm),XXXEasyFill,®,405,Seed,Tray,(54,x,31,x,3cm),,,,,,,,,,,,-,1,-,-,XXXEasyFill ® 405 Seed Tray (54x31x3cm),XXXEasyFill ® 405 Seed Tray (54 x 31 x 3mm),尺寸格式統一：54x31x3cm → 54 x 31 x 3mm
E1070,EasyFill ®  Half Trolley Crate (63 x 56 x 11mm),EasyFill,®,,Half,Trolley,Crate,(63,x,56,x,11cm),,,,,,,,,,,-,1,-,-,EasyFill ®  Half Trolley Crate (63x56x11cm),EasyFill ®  Half Trolley Crate (63 x 56 x 11mm),尺寸格式統一：63x56x11cm → 63 x 56 x 11mm
MCP130x130x7,Composite Chamber 1300 x 1300 x 1050mm (30%GF PP),Composite,Chamber,1300,x,1300,x,1050mm,(30%GF,PP),,,,,,,,,Black,1,-,-,Composite Chamber 1300 x 1300 x 1050mm (30%GF PP),Composite Chamber 1300 x 1300 x 1050mm (30%GF PP),尺寸格式統一：1300 x 1300 x 1050mm → 1300 x 1300 x 1050mm
MCP450x300x1,Composite Chamber 450 x 300 x 150mm (30%GF PP),Composite,Chamber,450,x,300,x,150mm,(30%GF,PP),,,,,,,,,Black,1,-,-,Composite Chamber 450 x 300 x 150mm (30%GF PP),Composite Chamber 450 x 300 x 150mm (30%GF PP),尺寸格式統一：450 x 300 x 150mm → 450 x 300 x 150mm
MCP600x450x1,Composite Chamber 600 x 450 x 150mm (30%GF PP),Composite,Chamber,600,x,450,x,150mm,(30%GF,PP),,,,,,,,,Black,1,-,-,Composite Chamber 600 x 450 x 150mm (30%GF PP),Composite Chamber 600 x 450 x 150mm (30%GF PP),尺寸格式統一：600 x 450 x 150mm → 600 x 450 x 150mm
MCP900x600x2,Composite Chamber 900 x 600 x 300mm (30%GF PP),Composite,Chamber,900,x,600,x,300mm,(30%GF,PP),,,,,,,,,Black,1,-,-,Composite Chamber 900 x 600 x 300mm (30%GF PP),Composite Chamber 900 x 600 x 300mm (30%GF PP),尺寸格式統一：900 x 600 x 300mm → 900 x 600 x 300mm
3080B,"15 x 10 x 32"" Universal Bird Cage Stand Black","15x10x32""",Universal,Bird,Cage,Stand,Black,,,,,,,,,,,,-,1,-,-,"15x10x32"" Universal Bird Cage Stand Black","15 x 10 x 32"" Universal Bird Cage Stand Black",尺寸格式統一：15x10x32"" → 15 x 10 x 32""
3080W,"xxx15 x 10 x 32"" Universal Bird Cage Stand White","xxx15x10x32""",Universal,Bird,Cage,Stand,White,,,,,,,,,,,,-,1,-,-,"xxx15x10x32"" Universal Bird Cage Stand White","xxx15 x 10 x 32"" Universal Bird Cage Stand White",尺寸格式統一：15x10x32"" → 15 x 10 x 32""
6310B,"12"" x 8"" x 9"" (305 x 203 x 229mm) 11 litre Tank with Lid (pack of 4)","12""x8""x9""",(30x20x22cm),11,litre,Tank,with,Lid,(pack,of,4),,,,,,,,-,1,-,-,"12""x8""x9"" (30x20x22cm) 11 litre Tank with Lid (pack of 4)","12"" x 8"" x 9"" (305 x 203 x 229mm) 11 litre Tank with Lid (pack of 4)",尺寸格式統一：12""x8""x9"" (30x20x22cm) → 12"" x 8"" x 9"" (305 x 203 x 229mm)
6327,"xxx 48"" x 15"" x 18"" (1219 x 381 x 457mm) 190 Litre Glass Tank",xxx,"48""x15""x18""",(122x38x46cm),190,Litre,Glass,Tank,,,,,,,,,,,-,1,-,-,"xxx 48""x15""x18"" (122x38x46cm) 190 Litre Glass Tank","xxx 48"" x 15"" x 18"" (1219 x 381 x 457mm) 190 Litre Glass Tank",尺寸格式統一：48""x15""x18"" (122x38x46cm) → 48"" x 15"" x 18"" (1219 x 381 x 457mm)
6338,xxx Tropical Starter Kit  24 x 12 x 15mm,xxx,Tropical,Starter,Kit,,24,x,12,x,15,,,,,,,,-,1,-,-,xxx Tropical Starter Kit  24 x 12 x 15,xxx Tropical Starter Kit  24 x 12 x 15mm,尺寸格式統一：24 x 12 x 15 → 24 x 12 x 15mm
6342,"xxxGlass Tank  60"" x 12"" x 15""  (1524 x 305 x 381mm)  160litre",xxxGlass,Tank,,"60""x12""x15""",,(152x30x38cm),,160litre,,,,,,,,,,-,1,-,-,"xxxGlass Tank  60""x12""x15""  (152x30x38cm)  160litre","xxxGlass Tank  60"" x 12"" x 15""  (1524 x 305 x 381mm)  160litre",尺寸格式統一：60""x12""x15"" (152x30x38cm) → 60"" x 12"" x 15"" (1524 x 305 x 381mm)
6343,"xxxGlass Tank  60"" x 12"" x 18""  (1524 x 305 x 457mm)  190litre",xxxGlass,Tank,,"60""x12""x18""",,(152x30x46cm),,190litre,,,,,,,,,,-,1,-,-,"xxxGlass Tank  60""x12""x18""  (152x30x46cm)  190litre","xxxGlass Tank  60"" x 12"" x 18""  (1524 x 305 x 457mm)  190litre",尺寸格式統一：60""x12""x18"" (152x30x46cm) → 60"" x 12"" x 18"" (1524 x 305 x 457mm)
6345,"xxxGlass Tank  72"" x 12"" x 15""  (1829 x 305 x 381mm)  190litre",xxxGlass,Tank,,"72""x12""x15""",,(183x30x38cm),,190litre,,,,,,,,,,-,1,-,-,"xxxGlass Tank  72""x12""x15""  (183x30x38cm)  190litre","xxxGlass Tank  72"" x 12"" x 15""  (1829 x 305 x 381mm)  190litre",尺寸格式統一：72""x12""x15"" (183x30x38cm) → 72"" x 12"" x 15"" (1829 x 305 x 381mm)
6347,"xxxGlass Tank  72"" x 18"" x 18""  (1829 x 457 x 457mm)  360litre",xxxGlass,Tank,,"72""x18""x18""",,(183x46x46cm),,360litre,,,,,,,,,,-,1,-,-,"xxxGlass Tank  72""x18""x18""  (183x46x46cm)  360litre","xxxGlass Tank  72"" x 18"" x 18""  (1829 x 457 x 457mm)  360litre",尺寸格式統一：72""x18""x18"" (183x46x46cm) → 72"" x 18"" x 18"" (1829 x 457 x 457mm)
6348,"xxxGlass Tank  72"" x 18"" x 24""  (1829 x 457 x 610mm)  470litre",xxxGlass,Tank,,"72""x18""x24""",,(183x46x61cm),,470litre,,,,,,,,,,-,1,-,-,"xxxGlass Tank  72""x18""x24""  (183x46x61cm)  470litre","xxxGlass Tank  72"" x 18"" x 24""  (1829 x 457 x 610mm)  470litre",尺寸格式統一：72""x18""x24"" (183x46x61cm) → 72"" x 18"" x 24"" (1829 x 457 x 610mm)
6349,"xxxGlass Tank  72"" x 24"" x 24""  (1829 x 610 x 610mm)  640litre",xxxGlass,Tank,,"72""x24""x24""",,(183x61x61cm),,640litre,,,,,,,,,,-,1,-,-,"xxxGlass Tank  72""x24""x24""  (183x61x61cm)  640litre","xxxGlass Tank  72"" x 24"" x 24""  (1829 x 610 x 610mm)  640litre",尺寸格式統一：72""x24""x24"" (183x61x61cm) → 72"" x 24"" x 24"" (1829 x 610 x 610mm)
6351,"xxx16"" x 10"" x 14"" (406 x 254 x 356mm) 27 Litre Cold Water Starter Kit","xxx16"x10""x14""",(40x25x34cm),27,Litre,Cold,Water,Starter,Kit,,,,,,,,,,-,1,-,-,"xxx16"x10""x14"" (40x25x34cm) 27 Litre Cold Water Starter Kit","xxx16"" x 10"" x 14"" (406 x 254 x 356mm) 27 Litre Cold Water Starter Kit",尺寸格式統一：16"x10""x14"" (40x25x34cm) → 16"" x 10"" x 14"" (406 x 254 x 356mm)
ME1515150,Ecolite 150 x 150 x 150mm Manhole Ring,Ecolite,150,x,150,x,150mm,Manhole,Ring,,,,,,,,,,Black,120,-,-,Ecolite 150 x 150 x 150mm Manhole Ring,Ecolite 150 x 150 x 150mm Manhole Ring,尺寸格式統一：150 x 150 x 150mm → 150 x 150 x 150mm
ME151525,Ecolite 150 x 150 x 25mm Manhole Ring,Ecolite,150,x,150,x,25mm,Manhole,Ring,,,,,,,,,,Black,800,-,-,Ecolite 150 x 150 x 25mm Manhole Ring,Ecolite 150 x 150 x 25mm Manhole Ring,尺寸格式統一：150 x 150 x 25mm → 150 x 150 x 25mm
ME151550,Ecolite 150 x 150 x 50mm Manhole Ring,Ecolite,150,x,150,x,50mm,Manhole,Ring,,,,,,,,,,Black,400,-,-,Ecolite 150 x 150 x 50mm Manhole Ring,Ecolite 150 x 150 x 50mm Manhole Ring,尺寸格式統一：150 x 150 x 50mm → 150 x 150 x 50mm
MEP12075150,1200 x 750 x 150mm EcoPlus,1200x750x150mm,EcoPlus,,,,,,,,,,,,,,,,Black,16,EcoPlus,-,1200x750x150mm EcoPlus,1200 x 750 x 150mm EcoPlus,尺寸格式統一：1200x750x150mm → 1200 x 750 x 150mm
MEP12075S,1200 x 750 x 150mm EcoPlus With Steel Reinforcing,1200x750x150mm,EcoPlus,With,Steel,Reinforcing,,,,,,,,,,,,,Black,12,EcoPlus (Reinforcing),-,1200x750x150mm EcoPlus With Steel Reinforcing,1200 x 750 x 150mm EcoPlus With Steel Reinforcing,尺寸格式統一：1200x750x150mm → 1200 x 750 x 150mm
MEP12090150,1200 x 900 x 150mm EcoPlus,1200x900x150mm,EcoPlus,,,,,,,,,,,,,,,,Black,17,EcoPlus,-,1200x900x150mm EcoPlus,1200 x 900 x 150mm EcoPlus,尺寸格式統一：1200x900x150mm → 1200 x 900 x 150mm
MEP12090S,1200 x 900 x 150mm EcoPlus With Steel Reinforcing,1200x900x150mm,EcoPlus,With,Steel,Reinforcing,,,,,,,,,,,,,Black,12,EcoPlus (Reinforcing),-,1200x900x150mm EcoPlus With Steel Reinforcing,1200 x 900 x 150mm EcoPlus With Steel Reinforcing,尺寸格式統一：1200x900x150mm → 1200 x 900 x 150mm 
